Clicker ID,L1705161358_Q1,L1705161358_Q2,L1705161358_Q3,L1705161358_Q4,L1705161358_Q5,L1705161358_Q6,L1705161358_Q7,L1705161358_Q8,L1705161358_Q9
#9AAF182D,C,D,C,B,B,C,D,C,A
#9AB0416B,C,A,D,C,B,C,B,C,C
#9ACA0151,A,A,B,C,B,C,E,D,D
#9ACFAAFF,B,B,B,C,B,C,C,C,C
#9AD68BC7,B,D,B,C,B,B,B,D,D
#9B0A61F0,B,B,E,C,B,C,B,C,C
#9B7145AF,C,D,C,C,B,B,B,C,C
#9B7B2ACA,A,B,C,C,B,C,C,B,B
#9B8D7563,B,D,,C,B,C,C,D,D
#9B9E5752,C,C,B,B,B,D,C,C,D
#9D4F7DAF,C,E,C,C,B,C,C,B,B
#9D533AF4,,B,B,D,B,D,E,D,D
#9D7208E7,D,D,C,C,A,B,B,B,B
#9D798E6A,B,A,B,C,B,B,B,D,B
#9DB394BA,A,C,C,C,B,,,B,C
#9EB85472,A,D,C,C,B,B,B,B,B
#9EF15936,C,C,B,B,A,A,A,C,D
#9F24C17A,C,D,,C,B,C,C,C,C
#9F2E2697,B,C,C,D,B,C,C,C,C
#A23A0F97,B,E,B,C,B,A,C,D,D
#A24DB35C,B,B,B,B,B,B,,B,C
#A592AB9C,B,C,C,C,B,D,C,C,C
#A5CF167C,C,D,C,C,B,A,C,B,D
#A5D6E794,A,A,B,C,B,B,C,C,C
#A6A9535C,D,D,C,C,B,B,B,C,C
