Clicker ID,L1706061354_Q1,L1706061354_Q2,L1706061354_Q3,L1706061354_Q4,L1706061354_Q5,L1706061354_Q6,L1706061354_Q7,L1706061354_Q8,L1706061354_Q9,L1706061354_Q10,L1706061354_Q11,L1706061354_Q12
#9A7742AF,D,A,E,E,A,A,B,A,C,C,B,
#9A7FEA0F,C,A,D,C,D,B,C,A,C,B,C,C
#9A8B3C2D,A,A,C,C,B,A,A,A,B,C,C,C
#9A94636D,D,A,C,B,A,A,D,A,B,C,C,C
#9A99B8BB,B,C,A,E,A,E,C,A,B,,A,B
#9A9C5355,,C,E,E,D,A,C,A,B,B,B,B
#9A9CE4E2,C,C,B,C,A,A,D,A,,C,C,C
#9AA2320A,A,A,B,C,A,A,B,A,C,C,D,C
#9AA2350D,A,A,D,C,B,A,A,C,B,C,C,C
#9AA30E37,,,,A,A,A,,,,,,
#9AB0416B,A,A,E,C,D,D,C,A,C,C,B,B
#9ACFAAFF,A,D,E,C,A,A,A,C,A,A,A,A
#9AD68BC7,C,D,D,D,D,D,A,E,C,B,C,C
#9B0A61F0,D,D,C,B,E,A,C,E,A,C,A,B
#9B7145AF,A,A,C,C,E,D,A,A,B,A,B,B
#9B7B2ACA,C,C,E,E,D,D,B,A,B,C,B,B
#9B8D7563,A,C,E,E,D,E,A,A,A,B,B,B
#9B9E5752,C,C,A,E,D,D,B,A,D,D,C,C
#9D4F7DAF,D,D,C,C,B,B,C,C,C,C,A,B
#9D533AF4,C,C,C,B,B,B,B,B,B,C,B,B
#9D7208E7,D,D,D,E,A,A,A,A,C,B,B,B
#9EB85472,A,D,C,C,A,A,C,A,C,C,C,B
#9F25DB61,,A,D,E,A,B,A,A,,,B,B
#9F276DD5,A,A,B,A,A,A,C,A,A,B,C,C
#9F27843C,,,B,B,A,A,,A,B,B,B,B
#A23A0F97,D,D,B,B,A,A,A,A,C,C,B,B
#A24DB35C,C,A,B,C,C,C,C,A,B,B,B,C
#A497794A,A,A,B,D,D,D,A,A,C,C,B,C
#A592AB9C,C,C,E,E,D,A,A,A,B,B,B,A
#A5CF167C,A,A,E,E,D,D,A,B,,,,
#A6A9535C,C,,D,C,C,C,C,B,C,D,C,
