Clicker ID,L1704201356_Q1,L1704201356_Q2,L1704201356_Q3,L1704201356_Q4,L1704201356_Q5,L1704201356_Q6,L1704201356_Q7,L1704201356_Q8,L1704201356_Q9,L1704201356_Q10,L1704201356_Q11,L1704201356_Q12,L1704201356_Q13
#9EF15936,D,D,A,C,C,C,B,A,A,A,B,D,C
#9F25DB61,A,A,C,D,D,D,B,B,B,B,D,A,C
#9F27843C,B,D,B,B,C,A,D,A,A,A,A,D,C
#9F343992,A,A,B,D,C,C,E,C,C,B,A,D,C
#A23A0F97,C,A,C,B,C,C,A,C,B,B,A,D,C
#A24DB35C,B,B,C,D,A,A,C,C,B,B,A,D,C
#A497794A,C,D,C,C,A,E,C,C,B,B,A,D,C
#A592AB9C,B,B,D,D,D,C,A,C,A,B,A,D,C
#A5CF167C,C,A,C,C,A,E,C,C,B,B,A,D,C
#A5D6E794,D,D,C,C,A,C,E,C,B,B,A,E,C
#A6A9535C,A,D,D,C,E,E,D,D,B,B,A,D,C
