Clicker ID,L1704181121_Q1,L1704181121_Q2,L1704181121_Q3,L1704181121_Q4,L1704181121_Q5,L1704181121_Q6,L1704181121_Q7,L1704181121_Q8,L1704181121_Q9,L1704181121_Q10,L1704181121_Q11,L1704181121_Q12,L1704181121_Q13,L1704181121_Q14,L1704181121_Q15,L1704181121_Q16
#9A99B8BB,D,C,A,A,B,B,D,C,D,D,C,B,B,B,D,D
#9A9CE4E2,,E,A,A,B,B,C,B,D,C,C,B,B,A,D,B
#9AA2350D,A,E,C,B,B,B,E,C,C,D,C,B,B,A,A,D
#9AAF182D,B,C,A,B,E,E,C,C,D,C,C,B,B,A,D,D
#9AB0416B,E,C,B,B,B,B,B,E,E,D,C,B,B,A,D,D
#9ACA0151,C,C,A,D,B,B,A,B,D,C,C,B,B,A,C,C
#9ACFAAFF,D,C,D,A,B,B,C,B,D,D,D,B,B,A,D,D
#9AD68BC7,D,C,A,B,E,B,B,B,D,C,E,B,B,A,A,D
#9B0A61F0,C,E,A,B,E,E,C,D,C,C,C,B,B,A,B,C
#9B7145AF,C,E,A,B,D,B,C,C,E,E,E,B,B,A,B,B
#9B7B2ACA,B,C,C,A,B,D,C,C,C,B,C,B,B,A,D,D
#9B8D7563,C,C,B,B,D,B,C,C,D,B,C,B,B,A,D,B
#9B9E5752,B,C,A,A,D,B,D,D,D,C,C,B,,A,D,D
#9D4F7DAF,B,A,A,,B,B,D,C,B,D,C,B,B,A,D,B
#9D533AF4,B,C,A,A,B,B,C,B,D,D,C,B,B,A,D,D
#9D7208E7,,,,,D,B,C,C,D,D,D,B,B,A,D,D
#9D798E6A,,,,B,B,B,C,C,D,D,D,B,B,A,B,D
#9DB394BA,C,C,A,,B,B,B,B,D,C,C,B,B,A,D,D
#9EB85472,C,C,A,A,A,B,D,C,D,D,E,B,B,A,D,D
#9EF15936,E,C,B,B,B,B,D,C,D,A,C,A,B,A,D,
#9F25DB61,,A,A,A,D,A,B,C,D,D,D,B,B,A,A,D
#9F276DD5,C,C,A,A,B,B,B,B,C,C,D,B,B,B,C,C
#9F343992,C,C,A,B,B,B,D,C,D,C,C,B,B,A,B,D
#A24DB35C,,E,B,A,D,,B,B,D,D,D,A,B,A,D,B
#A497794A,B,C,B,B,B,B,D,C,D,D,D,B,B,A,B,B
#A592AB9C,B,C,C,B,D,B,C,C,D,C,C,C,C,A,C,D
#A5CF167C,C,C,D,C,D,B,D,D,D,D,C,B,B,A,D,B
#A5D6E794,A,B,A,A,B,B,C,C,C,E,E,A,B,A,A,A
#A6A9535C,C,C,A,A,B,B,B,B,D,D,D,B,B,A,D,D
