Clicker ID,L1704111355_Q1,L1704111355_Q2,L1704111355_Q3,L1704111355_Q4,L1704111355_Q5,L1704111355_Q6,L1704111355_Q7,L1704111355_Q8,L1704111355_Q9,L1704111355_Q10,L1704111355_Q11,L1704111355_Q12,L1704111355_Q13,L1704111355_Q14,L1704111355_Q15,L1704111355_Q16,L1704111355_Q17,L1704111355_Q18,L1704111355_Q19
#88498243,B,A,D,C,C,A,E,E,C,C,A,E,C,C,B,B,E,B,D
#88852924,E,B,C,D,D,B,A,A,C,C,A,D,B,D,B,B,B,D,D
#88D21F45,A,,C,C,C,A,A,A,C,C,D,D,B,B,B,B,A,C,D
#88F65927,B,B,C,C,C,B,B,,C,C,D,D,C,C,B,C,A,C,C
#88F85727,,,,C,C,,A,A,A,C,,E,D,D,D,D,D,D,
#89019C14,A,A,C,C,C,B,A,A,C,C,D,D,C,D,C,B,A,D,D
#8901D75F,A,B,C,D,D,A,A,A,C,C,D,D,D,D,B,B,A,A,D
#89063EB1,,B,D,C,C,C,A,A,C,C,D,D,C,C,C,C,C,D,D
#89887B7A,A,A,C,C,,C,B,,C,C,E,D,C,C,C,B,A,C,D
#8A4E10D4,A,A,C,C,C,C,D,D,C,C,A,A,B,C,B,B,A,D,
#8A79CC3F,A,B,C,,C,C,A,C,C,,B,D,A,C,B,B,A,C,D
#8AF17902,E,A,C,C,A,A,A,A,A,C,D,D,C,C,A,C,C,D,D
#8B180F9C,A,B,B,C,C,A,A,A,C,,D,D,C,C,B,B,C,A,D
#8B187BE8,A,A,C,,C,B,A,A,C,C,B,D,C,,B,B,A,A,D
#8B3AF243,B,A,E,C,C,E,A,A,A,,E,D,D,D,B,B,A,D,D
#8B6CDC3B,B,B,C,C,C,A,A,A,C,C,E,E,D,C,B,C,A,D,D
#8DC46128,A,B,C,,C,A,A,A,B,B,C,C,D,D,C,C,C,C,D
#8DF11569,B,B,C,C,C,A,A,A,E,C,E,D,E,C,B,B,A,B,D
#8DFAA0D7,A,B,C,C,C,E,A,A,C,C,B,E,C,C,B,B,A,D,D
#8E0FB233,A,A,C,C,C,A,A,A,C,C,A,B,C,C,B,B,A,D,D
#8E19FA6D,C,C,A,C,C,E,E,E,C,C,D,D,A,A,,,,,
#8E1B37A2,A,A,C,C,C,A,A,A,C,C,C,D,C,,C,B,A,E,D
#8E69D334,B,,C,C,C,B,B,A,C,C,C,C,B,C,B,B,B,D,D
#8E881513,B,A,C,,C,A,A,A,C,E,A,D,C,C,B,B,E,D,
#8E8E9494,A,B,C,C,C,A,A,A,C,,E,C,E,C,A,B,A,D,D
#8E99FEE9,B,A,C,C,C,A,A,A,D,C,E,D,C,C,B,B,B,D,D
#8EB71128,B,B,C,C,C,A,A,A,C,C,D,D,C,C,B,B,A,D,D
#8F45BF75,B,,C,C,C,C,C,C,D,C,E,D,B,B,,,,,
#8FAADAFF,C,A,C,C,C,A,A,A,C,C,A,D,B,C,B,B,A,D,D
#906EE21C,A,A,C,D,C,A,A,A,C,C,D,D,B,B,B,B,A,C,D
#907007E7,A,A,C,C,C,E,E,E,C,C,D,E,C,C,C,C,C,D,D
#90726082,A,A,C,C,C,E,E,E,C,C,D,E,C,C,A,B,A,E,D
#90C5A6F3,,,B,C,,D,A,A,C,C,A,A,C,,E,,E,E,E
#90EA5228,A,A,C,C,C,A,,A,C,,B,D,C,C,B,B,A,B,D
#9139D57D,A,B,C,C,C,A,A,A,C,C,E,E,C,C,B,B,B,A,D
#9147EC3A,B,A,C,C,C,E,E,E,C,,D,D,A,C,B,,A,A,D
#91590AC2,A,A,C,,C,A,A,A,C,C,E,E,D,C,D,D,E,A,D
#915C36FB,B,A,C,C,C,A,A,A,C,C,A,A,C,C,B,B,A,D,D
#916251A2,B,B,C,C,C,A,A,A,C,C,C,C,D,D,B,B,A,A,A
#916E758A,A,A,A,C,C,B,B,,C,C,D,D,C,C,B,B,E,D,D
#916EE31C,A,B,,C,,A,A,A,B,C,B,D,C,C,C,C,B,A,D
#930E40DD,A,B,D,C,C,A,A,A,C,C,B,D,C,C,C,B,A,D,D
#9322E958,A,A,C,C,C,A,,A,C,C,C,D,B,C,B,B,C,E,
#9574E302,A,A,C,C,C,A,A,A,C,C,A,D,C,C,B,B,A,A,E
#962F823B,B,B,C,C,C,A,A,A,C,C,C,D,E,C,C,C,A,B,D
#969C5A50,A,A,C,C,C,A,A,A,C,C,D,D,B,B,B,B,C,E,E
#969F4E47,B,A,C,C,C,B,B,B,A,C,A,A,C,C,B,B,C,D,D
#969F6069,B,B,E,C,C,C,A,A,C,C,D,D,C,C,C,D,D,C,C
#96BC012B,A,A,C,C,C,D,A,A,C,C,E,E,C,C,C,C,E,E,D
#96E0E99F,A,A,C,C,C,A,A,A,C,C,A,D,,C,A,C,C,E,D
#97387CD3,B,B,C,C,C,A,A,A,C,C,D,D,C,,B,B,A,D,D
#974B19C5,C,B,E,C,C,E,A,A,C,C,B,D,C,C,B,C,A,D,E
#974B4995,B,B,C,C,C,A,A,A,C,,E,D,D,C,A,B,A,D,
#974E4099,B,B,E,E,E,B,A,,C,C,D,D,C,C,B,B,A,D,D
#974F33EB,A,A,,C,C,C,A,A,A,A,A,B,B,D,B,B,A,E,D
#97C4D586,B,B,E,E,E,A,A,A,A,C,B,B,B,C,A,A,B,C,D
#97C8C59A,B,B,C,C,,C,E,E,B,B,D,,A,C,B,B,A,D,
#97C90957,B,A,C,C,C,E,A,A,C,C,A,D,C,C,B,B,A,D,D
#97C95C02,A,A,C,C,C,A,A,A,A,A,D,D,A,C,C,B,A,B,D
#97F13C5A,A,A,C,C,C,A,A,A,C,C,C,D,C,,B,B,A,D,D
#982ACA78,B,B,C,C,C,B,A,A,B,C,D,D,D,C,B,B,A,E,D
#982BBA09,B,A,C,C,C,A,A,A,B,C,D,D,C,C,B,B,A,C,D
#982E49FF,B,A,B,C,C,E,A,A,A,C,A,D,C,,B,,E,A,
#982EA315,A,A,C,C,C,A,A,A,C,C,E,D,C,C,B,B,B,A,D
#982EE650,B,B,B,C,C,E,E,E,C,C,D,D,C,C,C,B,A,D,
#9832309A,A,A,A,C,C,C,A,A,C,C,A,D,B,C,C,B,C,D,
#98329C36,B,A,C,C,C,A,A,A,C,C,D,D,C,C,B,B,A,D,D
#9837A00F,B,A,C,C,,A,A,A,C,C,D,D,C,C,C,B,A,D,D
#983A74D6,B,A,D,C,C,A,A,A,C,C,C,C,B,C,C,D,A,E,D
#98F87616,A,A,C,C,C,A,A,A,A,C,C,A,C,,A,C,C,B,D
#98F8EA8A,A,A,C,C,C,A,A,A,C,C,D,D,C,C,A,A,C,D,D
#9925E458,A,A,C,C,C,A,A,A,C,C,D,D,D,D,B,B,A,D,D
#99328823,A,A,C,C,C,A,A,A,C,C,D,D,D,D,B,B,A,D,D
#99351DB1,A,A,C,C,C,A,A,A,C,C,E,D,C,C,B,B,A,D,D
#996B23D1,B,B,C,C,C,E,A,A,C,C,C,C,C,C,B,B,A,C,C
#9999B9B9,A,A,E,C,C,A,A,A,A,A,E,E,C,C,B,C,A,A,B
#999A6E6D,B,A,D,C,C,A,A,A,C,C,C,C,C,C,C,D,A,E,D
#9A172EA3,A,A,E,C,C,A,E,,C,C,D,D,D,C,C,C,A,D,D
#9A1AD757,A,A,A,C,C,C,B,B,A,C,D,D,D,D,B,A,E,D,D
#9A1F0E8B,A,A,C,C,C,A,A,A,C,,D,D,C,,B,B,A,B,D
#9A233881,B,B,C,C,C,A,A,A,C,C,D,D,C,C,C,C,A,D,D
#9A27328F,B,B,C,C,C,A,A,A,C,C,D,D,C,C,C,C,A,D,D
#9A2B3283,B,A,C,E,C,B,A,A,C,C,C,C,C,C,B,B,A,D,D
#9A2DFB4C,A,A,D,D,C,C,A,A,C,C,C,D,B,D,A,C,A,D,D
#9A393B98,B,A,E,C,C,A,A,A,C,C,D,D,C,C,B,D,D,B,D
#9A3E5DF9,A,A,C,C,C,E,A,A,C,C,E,D,C,C,B,B,A,D,D
#9A40E238,A,B,C,C,C,A,A,A,C,C,D,D,C,C,C,C,A,D,D
#9A4530EF,A,A,C,C,C,A,A,A,C,C,D,D,C,C,B,B,A,D,D
#9A542AE4,B,,E,,E,A,A,A,C,C,D,D,C,C,B,C,C,C,D
#9A565B97,A,A,C,,C,A,A,A,C,C,D,D,C,C,B,B,A,D,D
#9A735EB7,B,,C,C,C,E,A,E,B,C,A,A,C,C,A,A,A,E,
#9A75719E,B,A,C,C,C,B,,B,B,C,A,D,C,B,B,B,C,C,
#9A7742AF,B,B,C,C,C,A,A,A,C,C,D,D,D,C,B,C,E,D,D
#9A7FEA0F,E,E,B,B,B,,C,C,C,C,E,D,B,B,B,B,A,C,C
#9A81918A,A,A,C,C,C,A,A,A,C,C,B,D,C,C,B,B,A,D,D
#9A8B3C2D,B,A,C,C,C,A,A,A,C,C,A,D,D,C,B,B,D,D,D
#9A94636D,A,A,E,C,C,A,A,A,C,C,E,E,C,C,B,B,A,D,D
#9A99B8BB,B,B,E,B,A,A,A,A,C,C,D,D,C,C,B,B,A,E,D
#9A9C5355,,,D,,D,C,A,A,C,C,B,B,D,D,B,B,A,D,D
#9A9CE4E2,A,A,C,C,C,A,A,A,C,C,A,A,B,C,B,B,A,D,E
#9AA2320A,B,A,C,C,C,E,A,A,C,C,D,D,C,C,A,B,A,C,D
#9AA2350D,E,B,C,C,,C,A,A,B,C,D,D,C,C,B,B,B,A,D
#9AA30E37,B,A,A,,B,A,A,A,A,C,A,D,B,C,B,B,A,A,D
#9AAF182D,B,A,C,C,C,C,A,A,D,C,E,E,B,C,B,B,A,A,D
#9ACA0151,B,A,A,C,,B,B,,B,C,D,D,C,C,B,B,B,B,D
#9ACFAAFF,A,A,C,C,C,A,A,A,C,C,D,D,C,C,B,,C,D,D
#9AD68BC7,B,A,C,C,C,B,A,A,C,C,D,D,C,C,B,B,A,A,D
#9B0A61F0,C,A,C,C,C,C,A,E,D,C,A,D,C,C,C,B,D,D,E
#9B7145AF,A,A,C,C,C,A,A,A,C,C,C,D,C,,B,C,A,E,D
#9B7B2ACA,D,B,C,,C,A,A,A,C,C,C,D,C,C,B,B,D,D,D
#9B8D7563,C,A,D,C,C,A,A,A,B,C,D,,C,,C,B,C,D,D
#9B94313E,A,A,E,A,B,A,,,B,B,E,D,C,C,C,C,C,A,D
#9B9E5752,B,B,C,C,C,A,A,A,C,C,D,D,C,C,B,B,A,D,D
#9D4F7DAF,B,B,C,C,C,A,A,,C,C,E,D,C,C,B,B,A,C,D
#9D533AF4,A,A,E,C,C,A,A,A,C,C,D,D,C,,B,B,B,D,D
#9D7208E7,B,A,C,C,C,A,A,A,C,C,D,D,C,C,B,B,A,D,D
#9D798E6A,A,A,C,C,C,A,A,A,B,C,D,D,D,C,C,B,A,B,D
#9EB85472,A,A,C,,C,A,A,A,C,C,D,D,C,C,B,B,A,D,D
#9EF15936,C,E,C,C,C,A,A,A,C,C,A,D,B,C,B,B,A,D,D
#9F25DB61,,,,A,B,B,B,A,A,A,A,A,A,A,B,,,B,A
#9F276DD5,A,A,D,,D,E,E,E,A,C,C,D,C,C,B,B,D,B,B
#9F27843C,A,A,C,C,C,A,A,A,C,C,A,D,C,,B,C,C,D,
#9F2E2697,B,B,C,C,,C,,,,,,,,,,,,,
#A23A0F97,,,A,C,C,B,A,A,C,C,E,D,D,C,B,B,A,D,D
#A24DB35C,B,B,C,C,C,A,,A,C,C,D,D,B,C,C,B,C,D,
#A497794A,A,A,C,C,C,A,A,A,C,C,D,D,C,C,B,B,C,D,D
#A592AB9C,,,C,C,C,A,A,A,C,C,B,D,C,C,B,B,A,D,D
#A5C2E98E,,,C,C,C,C,A,A,B,C,D,D,D,D,C,C,A,B,D
#A5CF167C,C,A,C,C,C,A,A,A,A,C,A,D,C,C,D,B,A,A,D
#A5D6E794,A,A,C,C,C,A,A,A,C,,E,E,C,C,C,C,A,C,D
