Clicker ID,L1705181358_Q1,L1705181358_Q2,L1705181358_Q3,L1705181358_Q4,L1705181358_Q5,L1705181358_Q6,L1705181358_Q7,L1705181358_Q8
#8E881513,D,C,B,B,C,C,C,D
#8E99FEE9,C,C,B,B,C,C,A,A
#8E9E0D1D,D,C,C,C,A,A,A,B
#8F474C84,,C,B,,D,D,B,E
#8FAADAFF,A,C,A,B,D,E,A,A
#906EE21C,D,C,C,B,C,C,A,E
#907007E7,B,C,B,B,D,D,B,E
#90726082,D,C,C,C,D,D,E,E
#90EA5228,C,C,B,C,A,D,B,A
#9147EC3A,B,C,,B,A,A,A,E
#915C36FB,B,C,B,B,E,A,E,E
#916251A2,D,B,B,B,C,C,B,B
#916E758A,C,C,C,C,B,B,A,A
#916EE31C,C,C,B,B,B,B,A,A
#930E40DD,C,C,B,,D,D,A,E
#93129C1D,B,B,C,B,C,C,E,A
#9574E302,C,C,A,B,D,C,A,A
#962F823B,C,C,B,B,B,C,A,A
#963F7FD6,A,A,A,B,D,E,A,A
#969C5A50,D,C,B,B,C,,B,B
#969F4E47,B,B,C,C,A,A,C,A
#969F6069,B,D,C,B,B,C,D,A
#96E0E99F,C,C,B,B,A,C,D,E
#97387CD3,B,B,B,B,A,C,A,A
#974E4099,C,D,A,B,A,D,D,A
#974F33EB,B,D,A,B,D,,A,C
#97C40D5E,C,C,C,,A,B,B,D
#97C4D586,C,D,B,B,D,,B,E
#97C90957,C,C,B,B,C,C,C,C
#97C95C02,B,D,B,B,A,A,E,D
#97F13C5A,C,D,B,B,C,C,A,A
#982ACA78,B,C,B,B,A,A,B,B
#982E49FF,E,D,B,B,A,D,A,A
#982EA315,C,D,B,B,A,C,A,E
#982EE650,B,B,C,C,A,A,B,B
#982FC176,A,B,C,C,A,B,B,B
#9832309A,,,B,,A,B,B,A
#98329C36,B,B,C,B,E,E,A,A
#9837A00F,C,C,C,B,C,C,A,E
#98F5432E,C,C,B,B,B,B,C,C
#9925E458,C,C,B,B,A,E,A,A
#99328823,C,D,B,B,D,C,A,E
#999A6E6D,E,D,A,D,A,A,A,A
#9A1F0E8B,D,C,B,B,A,B,B,E
#9A233881,A,B,B,C,C,C,B,B
#9A27328F,B,B,B,B,D,D,B,B
#9A2B3283,D,D,B,B,C,C,C,C
#9A2DFB4C,C,D,B,B,C,C,B,B
#9A3E5DF9,B,B,B,B,C,C,B,E
#9A40E238,C,C,B,B,B,B,A,A
#9A4530EF,C,C,B,B,A,D,C,B
#9A542AE4,D,,B,,A,,D,A
#9A565B97,C,C,B,B,E,C,E,E
#9A705FB5,B,C,B,B,C,E,D,A
#9A735EB7,B,B,B,C,D,D,A,A
#9A75719E,C,B,B,A,C,C,B,B
#9A7742AF,B,C,B,B,C,C,B,B
#9A7FEA0F,C,C,C,C,C,C,C,C
#9A81918A,,D,C,B,C,C,C,B
#9A8B3C2D,B,B,B,B,A,C,A,D
#9A94636D,C,C,B,B,A,A,E,E
#9A99B8BB,B,B,C,B,C,B,B,E
#9A9C5355,,A,B,B,A,A,A,C
#9AA2350D,C,C,C,D,B,E,A,A
#9AAF182D,D,C,B,A,A,A,B,B
#9AB0416B,B,B,B,B,E,D,C,B
#9ACA0151,B,C,C,,B,B,B,A
#9ACFAAFF,B,B,B,B,C,C,E,E
#9AD68BC7,B,B,B,C,B,B,A,A
#9B0A61F0,C,B,C,B,C,C,A,E
#9B7145AF,B,C,B,B,C,C,E,E
#9B7B2ACA,B,C,B,B,C,B,D,C
#9B9E5752,D,D,B,B,C,B,A,A
#9D4F7DAF,B,B,C,B,C,C,A,A
#9D533AF4,B,C,B,B,C,C,B,A
#9D798E6A,C,C,B,B,A,C,A,E
#9DB394BA,D,D,B,B,C,D,E,E
#9EB85472,D,D,B,B,C,C,E,E
#9EF15936,A,C,A,B,D,E,A,A
#9F25DB61,,,B,A,B,B,,A
#9F276DD5,B,,C,B,B,C,A,B
#9F2E2697,,,,,,B,C,B
#A24DB35C,C,C,B,,A,D,,
#A497794A,D,D,B,B,A,D,,A
#A592AB9C,A,B,B,B,C,C,A,A
#A5CF167C,C,C,B,B,A,C,B,A
#A5D6E794,D,D,C,B,A,C,B,B
#A6A9535C,C,D,B,B,B,,B,E
