Clicker ID,L1706011359_Q1,L1706011359_Q2,L1706011359_Q3,L1706011359_Q4,L1706011359_Q5,L1706011359_Q6,L1706011359_Q7,L1706011359_Q8,L1706011359_Q9,L1706011359_Q10,L1706011359_Q11
#90EA5228,A,C,C,B,B,C,C,B,D,C,C
#9139D57D,B,,A,C,C,C,C,D,,C,C
#9147EC3A,A,A,A,A,E,C,C,D,D,C,C
#915C36FB,A,A,A,B,C,C,C,C,C,C,C
#916251A2,C,C,C,B,B,C,B,B,B,C,C
#916E758A,B,B,,A,A,,C,C,D,C,C
#916EE31C,A,A,A,B,B,A,C,A,C,B,C
#930E40DD,B,A,A,C,C,C,C,B,D,C,C
#93129C1D,A,A,A,B,A,B,B,D,D,C,C
#9574E302,A,A,A,A,,A,B,B,B,A,A
#969C5A50,B,A,B,B,B,B,B,C,B,B,B
#969F4E47,B,A,B,B,B,C,C,C,B,C,C
#969F6069,B,A,B,B,B,C,C,B,B,D,D
#96E0E99F,B,B,B,D,D,C,C,E,D,C,C
#97387CD3,C,C,A,A,A,C,C,D,D,D,C
#974E4099,C,C,C,D,C,C,C,D,D,C,C
#974F33EB,A,A,B,C,B,C,C,B,B,A,C
#97C40D5E,C,B,B,B,B,D,B,B,A,C,D
#97C90957,A,B,A,A,B,B,C,C,D,E,C
#97C95C02,B,B,B,D,B,D,C,B,B,A,C
#97F13C5A,B,C,C,D,D,C,C,D,B,D,C
#982ACA78,B,B,B,E,B,C,,C,D,C,C
#982EA315,B,B,B,A,C,B,C,C,B,C,C
#982EE650,C,C,C,B,B,C,C,B,B,C,C
#98305FF7,B,B,C,D,D,B,C,B,B,C,C
#9832309A,A,B,C,A,A,A,A,A,A,A,A
#98329C36,A,A,A,A,B,B,C,D,D,C,C
#9837A00F,A,A,B,B,A,C,D,D,D,C,C
#98F87616,A,A,A,B,,B,B,A,D,C,C
#9925E458,D,E,A,A,A,C,C,B,B,B,C
#99328823,A,C,C,C,C,C,C,B,D,C,C
#99351DB1,B,B,B,D,B,C,C,D,D,C,C
#999A6E6D,A,A,A,A,A,A,C,C,C,A,A
#9A1AD757,E,B,B,B,C,B,B,B,B,D,D
#9A1F0E8B,A,,B,C,C,C,C,D,D,C,C
#9A233881,A,A,A,A,A,A,A,A,A,A,
#9A27328F,A,A,A,E,E,C,C,E,B,C,C
#9A2B3283,B,B,A,B,B,B,B,B,A,B,B
#9A2DFB4C,B,B,B,B,B,C,C,C,C,C,C
#9A3E5DF9,A,A,A,E,B,,,,,,
#9A40E238,A,A,C,B,B,C,E,A,A,C,C
#9A4530EF,B,B,A,B,B,C,C,B,B,C,C
#9A542AE4,,,,C,C,B,D,D,D,C,
#9A565B97,A,A,B,E,B,C,C,D,A,A,C
#9A735EB7,C,D,C,E,A,,,,,,
#9A75719E,,A,B,C,C,B,C,A,A,C,C
#9A7742AF,C,C,C,C,C,B,C,D,D,C,C
#9A7FEA0F,D,,D,D,D,C,C,B,B,D,C
#9A81918A,A,B,C,B,B,B,C,D,D,C,C
#9A8B3C2D,C,A,A,B,D,C,C,D,B,C,C
#9A94636D,A,A,B,B,B,C,C,D,B,C,C
#9A99B8BB,D,B,B,B,B,C,C,B,B,C,C
#9A9C5355,A,A,C,A,C,A,C,D,A,A,D
#9A9CE4E2,C,C,C,A,A,B,,D,D,C,C
#9AA2320A,A,A,A,A,A,C,C,B,B,C,C
#9AA2350D,B,A,A,D,D,C,,B,D,C,C
#9AB0416B,C,A,A,B,B,D,C,A,A,D,C
#9ACA0151,B,B,A,A,B,B,C,C,D,C,C
#9ACFAAFF,A,A,A,E,E,C,C,A,A,C,C
#9AD68BC7,B,A,A,A,B,C,C,B,D,C,E
#9B0A61F0,A,,A,B,C,B,C,A,D,D,C
#9B7145AF,B,B,C,B,B,D,D,D,,E,C
#9B7B2ACA,B,B,C,B,B,B,C,D,D,D,C
#9B8D7563,B,,B,B,B,C,,C,D,C,C
#9D4F7DAF,B,B,B,B,C,D,D,D,D,D,E
#9D533AF4,B,A,B,B,C,B,D,B,B,C,C
#9D7208E7,C,C,C,C,,C,C,D,D,C,C
#9D798E6A,B,C,C,B,E,C,C,D,D,C,C
#9EB85472,C,C,B,D,C,C,C,D,D,C,C
#9EF15936,B,B,B,A,A,A,A,B,D,B,D
#9F25DB61,A,A,B,A,E,A,A,B,B,,B
#9F27843C,A,A,B,C,C,C,C,B,D,C,C
#A24DB35C,A,A,B,C,C,C,C,C,D,C,C
#A497794A,A,C,B,C,E,C,C,B,B,C,E
#A592AB9C,A,A,B,A,E,A,A,D,B,C,C
#A5CF167C,A,E,A,D,B,D,C,B,B,D,C
#A6A9535C,C,C,C,D,B,C,C,D,,C,C
