Clicker ID,L1710171359_Q1,L1710171359_Q2,L1710171359_Q3,L1710171359_Q4,L1710171359_Q5,L1710171359_Q6,L1710171359_Q7,L1710171359_Q8,L1710171359_Q9,L1710171359_Q10,L1710171359_Q11,L1710171359_Q12,L1710171359_Q13,L1710171359_Q14,L1710171359_Q15,L1710171359_Q16,L1710171359_Q17,L1710171359_Q18,L1710171359_Q19,L1710171359_Q20
#993DD074,B,B,A,A,D,C,E,A,D,D,D,B,B,B,D,B,D,D,A,A
#998DD0C4,C,B,A,A,B,C,A,A,B,D,C,C,C,C,A,A,B,D,D,
#99964649,B,B,A,A,D,C,A,A,D,E,B,,B,B,B,B,D,D,A,A
#9A2C2593,C,C,A,A,D,C,E,E,D,D,E,E,B,B,D,D,A,A,D,D
#9A2EF246,C,C,A,A,D,C,A,A,A,D,B,,D,B,D,D,C,C,A,A
#9A2EFB4F,B,B,A,A,D,C,E,A,B,D,D,D,E,E,D,D,A,D,A,A
#9A33D871,B,B,A,A,D,C,A,A,D,D,C,D,B,A,D,D,B,D,A,A
#9A3DE344,B,,B,A,B,D,C,B,B,B,B,B,B,B,B,B,B,B,B,B
#9A626991,C,B,D,A,D,C,B,A,D,D,B,D,A,B,A,D,D,D,A,A
#9A73B35A,B,C,A,A,D,C,A,A,B,B,D,D,B,B,A,D,C,D,D,B
#9A7D6285,B,B,E,A,D,C,C,C,C,D,B,D,A,A,D,D,A,D,A,A
#9A8BA1B0,B,B,A,A,D,C,A,A,C,D,B,D,B,B,B,D,C,D,B,A
#9A9E3531,B,B,A,A,D,E,E,A,C,D,A,C,B,B,D,D,B,D,A,B
#9AB3D4FD,B,,A,A,D,C,A,A,C,D,D,D,B,B,D,D,D,D,A,A
#9B71C228,B,B,A,A,B,C,B,B,,A,D,D,B,B,D,D,A,D,A,A
#9B78D033,B,B,A,A,D,C,D,A,A,B,A,A,B,E,D,,D,D,A,A
#9B7909EB,B,C,A,A,D,C,A,A,D,D,D,D,B,B,D,D,B,D,C,C
#9D5AC80F,B,B,A,,C,C,B,,A,B,A,A,A,A,A,A,A,,A,A
#9D6742B8,B,B,A,A,D,C,D,A,D,D,D,D,B,B,D,D,D,D,A,A
#9D799175,B,B,B,A,D,C,E,A,A,D,A,B,A,,D,A,D,D,B,B
#9D958D85,B,B,C,A,D,C,A,A,D,D,B,B,B,B,D,B,A,D,B,A
#9D9F494B,B,B,E,A,D,C,A,A,D,E,B,D,B,,C,D,A,D,A,A
#9DAE0734,A,B,A,A,D,C,E,E,A,D,D,D,B,B,D,D,D,D,A,A
#9F216ED0,C,D,D,A,D,C,B,B,C,C,C,D,A,B,C,C,C,D,D,A
#9F3272DF,C,B,A,A,D,C,E,A,D,D,D,D,A,B,C,D,C,D,B,A
#A027A621,A,B,A,A,D,C,D,E,A,D,D,D,B,B,C,D,B,D,A,
#A227C441,B,B,A,A,D,C,A,A,D,D,B,B,B,B,D,D,D,D,A,A
#A2445CBA,A,B,D,A,D,C,A,A,B,C,A,B,A,B,B,B,C,D,B,A
#A245AD4A,B,C,C,A,D,C,E,E,D,D,B,D,A,D,B,D,B,D,D,A
#A24BA940,,,,,,,,A,A,A,B,B,B,B,A,A,C,D,B,B
#A258D329,C,B,A,A,D,C,A,A,A,A,A,A,A,E,D,D,C,D,A,A
#A259BB40,B,B,A,A,D,C,D,D,C,D,C,B,C,B,B,D,D,D,A,A
#A57A9C43,B,B,A,A,D,C,A,A,C,C,D,D,A,A,D,D,D,D,A,A
#A91572CE,B,B,A,A,D,C,E,B,B,D,D,D,B,B,B,D,D,D,A,A
#ABDF90E4,A,B,E,A,D,C,A,,A,B,B,,B,B,C,C,D,D,D,E
