Clicker ID,L1710101353_Q1,L1710101353_Q2,L1710101353_Q3,L1710101353_Q4,L1710101353_Q5,L1710101353_Q6,L1710101353_Q7,L1710101353_Q8,L1710101353_Q9,L1710101353_Q10,L1710101353_Q11,L1710101353_Q12,L1710101353_Q13,L1710101353_Q14,L1710101353_Q15,L1710101353_Q16
#8ED21D41,D,D,C,C,B,B,B,B,B,B,D,E,E,B,B,A
#8F5175AB,A,,B,A,D,B,C,C,B,C,D,C,C,B,B,A
#90348327,D,D,B,B,B,B,B,B,E,D,D,D,C,B,B,A
#91177EF8,A,A,B,B,C,C,D,D,E,E,A,A,,B,B,C
#9139CF67,,,D,C,B,B,A,A,E,E,D,D,D,B,B,A
#9177E600,D,D,C,C,D,D,B,,B,,C,D,E,B,B,A
#96820014,A,B,,C,B,B,B,B,C,C,D,C,E,B,B,A
#969B636E,A,D,C,B,C,A,D,B,D,D,D,C,B,B,B,A
#969BB8B5,D,D,A,B,B,B,B,B,B,C,D,B,E,B,B,A
#96A695A5,D,D,C,C,B,B,B,B,B,B,D,E,E,B,B,A
#96B4C9EB,D,D,B,C,B,B,B,B,C,C,D,C,E,B,B,A
#96DA1F53,D,D,D,C,A,A,B,B,C,C,D,D,E,B,B,C
#97CA3964,D,D,C,C,A,A,B,B,D,D,D,D,C,A,B,A
#9811840D,D,D,C,A,B,B,C,C,B,B,E,C,C,B,B,A
#98305BF3,A,A,C,C,A,A,B,B,B,B,C,A,A,B,B,A
#993DD074,D,D,C,C,A,A,B,B,E,C,D,D,E,B,B,A
#998DD0C4,D,D,C,C,B,D,B,A,,B,C,C,E,A,B,A
#99964649,D,D,,,A,A,B,,B,B,D,D,D,B,B,A
#9A2C2593,D,D,B,C,B,B,D,B,D,D,D,B,B,B,B,A
#9A2EF246,D,D,B,B,C,B,B,B,C,B,D,C,B,B,B,A
#9A2EFB4F,D,,A,C,B,B,B,B,B,B,C,E,E,B,B,A
#9A33D871,D,D,C,C,B,B,B,B,C,C,D,E,E,,B,A
#9A3DE344,D,D,C,C,A,B,B,B,B,A,E,B,C,B,B,B
#9A626991,D,D,D,C,B,B,C,C,B,B,D,C,E,B,B,A
#9A73B35A,D,D,C,D,B,B,D,C,D,D,D,D,C,B,B,A
#9A7D6285,D,D,D,A,A,A,D,A,A,B,D,C,C,C,B,A
#9A810A11,A,D,D,D,B,B,C,B,C,,E,B,C,A,B,A
#9A8BA1B0,D,D,C,C,A,A,A,A,B,B,D,D,B,A,B,A
#9A912C27,D,D,E,C,B,B,B,B,E,E,D,E,C,B,B,A
#9A9E3531,D,D,C,B,A,A,B,B,B,B,D,C,E,B,B,A
#9AB3D4FD,,D,C,C,A,B,D,B,B,C,E,D,C,B,B,A
#9B71C228,D,D,C,C,A,A,B,B,E,C,D,C,E,B,B,A
#9B78D033,E,D,C,C,B,B,C,C,C,B,D,E,E,,B,A
#9B7909EB,D,D,B,C,A,A,D,D,C,B,D,C,C,B,B,A
#9B9FA2A6,A,D,B,C,A,B,A,B,C,A,D,D,,B,B,A
#9D4D23F3,D,D,D,C,A,B,B,B,A,B,D,C,C,B,B,A
#9D5AC80F,,,,,,,,A,D,D,C,B,B,B,,A
#9D6742B8,D,D,C,C,A,A,A,B,B,B,D,C,E,B,B,A
#9D799175,D,D,D,B,A,B,D,E,B,B,D,C,C,B,B,A
#9D958D85,D,D,C,C,A,B,B,B,D,D,D,E,D,B,B,A
#9D9F494B,A,A,B,C,A,A,E,E,B,B,D,C,C,B,B,A
#9DAE0734,D,D,E,E,B,B,B,B,E,E,D,E,E,B,B,A
#9F3272DF,D,D,D,C,A,A,B,B,B,B,D,C,E,B,B,A
#9F345EF5,C,D,C,C,A,D,A,A,A,A,D,E,E,C,B,E
#A027A621,D,D,C,C,A,A,D,B,B,B,D,D,,B,B,A
#A227C441,D,D,E,C,C,C,B,B,C,C,D,E,E,B,B,A
#A2445CBA,D,D,C,,A,B,A,A,B,B,D,D,E,A,A,A
#A245AD4A,,,C,C,C,C,B,B,A,A,D,E,C,B,B,A
#A24BA940,,C,B,,B,A,D,D,B,B,C,D,D,B,B,A
#A258D329,D,D,B,C,B,A,D,B,A,A,D,C,E,B,B,A
#A259BB40,D,,C,C,B,B,B,B,B,B,D,D,D,B,B,A
#A57A9C43,D,D,C,C,A,A,B,B,B,B,D,E,C,B,B,A
#A91572CE,D,D,C,C,A,B,B,B,D,C,D,E,E,B,B,A
#ABDF90E4,D,,C,C,A,A,B,B,B,,D,E,,B,,A
