Question,Clicker ID,Final Response
3,#8B187BE8,C
3,#8B3AF243,B
3,#8B6CDC3B,C
3,#8DF11569,D
3,#8DFAA0D7,D
3,#8E18F462,D
3,#8E881513,C
3,#8E8E9494,D
3,#8E99FEE9,D
3,#8F474C84,D
3,#906EE21C,B
3,#907007E7,A
3,#90726082,E
3,#90EA5228,D
3,#9139D57D,E
3,#9147EC3A,C
3,#915C36FB,C
3,#916E758A,B
3,#916EE31C,B
3,#930E40DD,A
3,#9574E302,C
3,#962F823B,E
3,#969C5A50,A
3,#969F4E47,E
3,#969F6069,D
3,#97387CD3,E
3,#974E4099,B
3,#974F33EB,B
3,#975062A5,A
3,#97C40D5E,B
3,#97C4D586,C
3,#97C90957,B
3,#97C95C02,D
3,#97F13C5A,C
3,#982ACA78,E
3,#982E49FF,C
3,#982EA315,E
3,#982EE650,B
3,#98305FF7,B
3,#9832309A,A
3,#98329C36,C
3,#9837A00F,C
3,#98F87616,E
3,#9925E458,E
3,#99328823,C
3,#9999B9B9,D
3,#999A6E6D,A
3,#9A1AD757,D
3,#9A1F0E8B,A
3,#9A233881,D
3,#9A27328F,D
3,#9A2B3283,E
3,#9A2DFB4C,E
3,#9A3E5DF9,B
3,#9A40E238,B
3,#9A4530EF,B
3,#9A542AE4,B
3,#9A565B97,E
3,#9A705FB5,D
3,#9A735EB7,A
3,#9A75719E,C
3,#9A7742AF,E
3,#9A7FEA0F,D
3,#9A8B3C2D,C
3,#9A94636D,C
3,#9A99B8BB,A
3,#9A9C5355,E
3,#9A9CE4E2,B
3,#9AA2320A,B
3,#9AA2350D,D
3,#9AA30E37,
3,#9AB0416B,E
3,#9ACFAAFF,E
3,#9AD68BC7,D
3,#9B0A61F0,C
3,#9B7145AF,C
3,#9B7B2ACA,E
3,#9B8D7563,E
3,#9B9E5752,A
3,#9D4F7DAF,C
3,#9D533AF4,C
3,#9D7208E7,D
3,#9EB85472,C
3,#9F25DB61,D
3,#9F276DD5,B
3,#9F27843C,B
3,#A23A0F97,B
3,#A24DB35C,B
3,#A497794A,B
3,#A592AB9C,E
3,#A5CF167C,E
3,#A6A9535C,D
4,#012CF9D4,B
4,#39758DC1,B
4,#802BA40F,C
4,#819DD5C9,D
4,#82A25E7E,C
4,#82E06103,E
4,#8418168A,E
4,#84202480,B
4,#842643E1,E
4,#84451DDC,E
4,#847057A3,B
4,#847630C2,D
4,#84AF6F44,C
4,#85B35E68,C
4,#8673C431,A
4,#88304BF3,D
4,#88498243,B
4,#88D21F45,E
4,#88F65927,C
4,#88F85727,B
4,#89019C14,C
4,#8901D75F,E
4,#89063EB1,E
4,#89887B7A,
4,#8A4E10D4,C
4,#8AF17902,B
4,#8B180F9C,D
4,#8B187BE8,C
4,#8B3AF243,B
4,#8B6CDC3B,B
4,#8DF11569,B
4,#8DFAA0D7,D
4,#8E18F462,E
4,#8E881513,C
4,#8E8E9494,D
4,#8E99FEE9,D
4,#8F474C84,A
4,#906EE21C,E
4,#907007E7,C
4,#90726082,C
4,#90EA5228,E
4,#9139D57D,E
4,#9147EC3A,B
4,#915C36FB,C
4,#916E758A,E
4,#916EE31C,B
4,#930E40DD,B
4,#9574E302,D
4,#962F823B,B
4,#969C5A50,E
4,#969F4E47,E
4,#969F6069,D
4,#97387CD3,
4,#974E4099,E
4,#974F33EB,E
4,#975062A5,D
4,#97C40D5E,E
4,#97C4D586,C
4,#97C90957,B
4,#97C95C02,B
4,#97F13C5A,C
4,#982ACA78,E
4,#982E49FF,C
4,#982EA315,D
4,#982EE650,B
4,#98305FF7,D
4,#9832309A,A
4,#98329C36,D
4,#9837A00F,C
4,#98F87616,C
4,#9925E458,E
4,#99328823,C
4,#9999B9B9,B
4,#999A6E6D,D
4,#9A1AD757,D
4,#9A1F0E8B,D
4,#9A233881,D
4,#9A27328F,C
4,#9A2B3283,B
4,#9A2DFB4C,E
4,#9A3E5DF9,C
4,#9A40E238,B
4,#9A4530EF,C
4,#9A542AE4,E
4,#9A565B97,E
4,#9A705FB5,C
4,#9A735EB7,B
4,#9A75719E,A
4,#9A7742AF,E
4,#9A7FEA0F,C
4,#9A8B3C2D,C
4,#9A94636D,B
4,#9A99B8BB,E
4,#9A9C5355,E
4,#9A9CE4E2,C
4,#9AA2320A,C
4,#9AA2350D,C
4,#9AA30E37,A
4,#9AB0416B,C
4,#9ACFAAFF,C
4,#9AD68BC7,D
4,#9B0A61F0,B
4,#9B7145AF,C
4,#9B7B2ACA,E
4,#9B8D7563,E
4,#9B9E5752,E
4,#9D4F7DAF,C
4,#9D533AF4,B
4,#9D7208E7,E
4,#9EB85472,C
4,#9F25DB61,E
4,#9F276DD5,A
4,#9F27843C,B
4,#A23A0F97,B
4,#A24DB35C,C
4,#A497794A,D
4,#A592AB9C,E
4,#A5CF167C,E
4,#A6A9535C,C
5,#012CF9D4,D
5,#39758DC1,E
5,#802BA40F,C
5,#819DD5C9,D
5,#82A25E7E,C
5,#82E06103,D
5,#8418168A,A
5,#84202480,A
5,#842643E1,D
5,#84451DDC,B
5,#847057A3,C
5,#847630C2,A
5,#84AF6F44,A
5,#85B35E68,D
5,#8673C431,A
5,#88304BF3,B
5,#88498243,D
5,#88D21F45,D
5,#88F65927,A
5,#88F85727,A
5,#89019C14,E
5,#8901D75F,D
5,#89063EB1,D
5,#89887B7A,
5,#8A4E10D4,E
5,#8AF17902,B
5,#8B180F9C,A
5,#8B187BE8,D
5,#8B3AF243,D
5,#8B6CDC3B,A
5,#8DF11569,E
5,#8DFAA0D7,C
5,#8E18F462,D
5,#8E881513,A
5,#8E8E9494,B
5,#8E99FEE9,C
5,#8F474C84,A
5,#906EE21C,C
5,#907007E7,A
5,#90726082,A
5,#90EA5228,D
5,#9139D57D,A
5,#9147EC3A,C
5,#915C36FB,C
5,#916E758A,A
5,#916EE31C,C
5,#930E40DD,A
5,#9574E302,C
5,#962F823B,A
5,#969C5A50,A
5,#969F4E47,B
5,#969F6069,D
5,#97387CD3,A
5,#974E4099,E
5,#974F33EB,A
5,#975062A5,C
5,#97C40D5E,C
5,#97C4D586,C
5,#97C90957,B
5,#97C95C02,A
5,#97F13C5A,D
5,#982ACA78,C
5,#982E49FF,C
5,#982EA315,B
5,#982EE650,D
5,#98305FF7,A
5,#9832309A,A
5,#98329C36,B
5,#9837A00F,D
5,#98F87616,D
5,#9925E458,D
5,#99328823,D
5,#9999B9B9,B
5,#999A6E6D,A
5,#9A1AD757,B
5,#9A1F0E8B,D
5,#9A233881,B
5,#9A27328F,A
5,#9A2B3283,C
5,#9A2DFB4C,D
5,#9A3E5DF9,C
5,#9A40E238,D
5,#9A4530EF,B
5,#9A542AE4,B
5,#9A565B97,A
5,#9A705FB5,C
5,#9A735EB7,
5,#9A75719E,B
5,#9A7742AF,A
5,#9A7FEA0F,D
5,#9A8B3C2D,B
5,#9A94636D,A
5,#9A99B8BB,A
5,#9A9C5355,D
5,#9A9CE4E2,A
5,#9AA2320A,A
5,#9AA2350D,B
5,#9AA30E37,A
5,#9AB0416B,D
5,#9ACFAAFF,A
5,#9AD68BC7,D
5,#9B0A61F0,E
5,#9B7145AF,E
5,#9B7B2ACA,D
5,#9B8D7563,D
5,#9B9E5752,D
5,#9D4F7DAF,B
5,#9D533AF4,B
5,#9D7208E7,A
5,#9EB85472,A
5,#9F25DB61,A
5,#9F276DD5,A
5,#9F27843C,A
5,#A23A0F97,A
5,#A24DB35C,C
5,#A497794A,D
5,#A592AB9C,D
5,#A5CF167C,D
5,#A6A9535C,C
6,#012CF9D4,E
6,#39758DC1,E
6,#802BA40F,C
6,#819DD5C9,D
6,#82A25E7E,D
6,#82E06103,E
6,#8418168A,A
6,#84202480,A
6,#842643E1,E
6,#84451DDC,B
6,#847057A3,C
6,#847630C2,D
6,#84AF6F44,A
6,#85B35E68,D
6,#8673C431,A
6,#88304BF3,D
6,#88498243,A
6,#88D21F45,C
6,#88F65927,B
6,#88F85727,
6,#89019C14,A
6,#8901D75F,D
6,#89063EB1,D
6,#89887B7A,C
6,#8A4E10D4,B
6,#8AF17902,B
6,#8B180F9C,A
6,#8B187BE8,D
6,#8B3AF243,D
6,#8B6CDC3B,A
6,#8DF11569,D
6,#8DFAA0D7,C
6,#8E18F462,D
6,#8E881513,A
6,#8E8E9494,B
6,#8E99FEE9,B
6,#8F474C84,E
6,#906EE21C,C
6,#907007E7,A
6,#90726082,A
6,#90EA5228,D
6,#9139D57D,A
6,#9147EC3A,C
6,#915C36FB,C
6,#916E758A,A
6,#916EE31C,C
6,#930E40DD,D
6,#9574E302,A
6,#962F823B,A
6,#969C5A50,A
6,#969F4E47,B
6,#969F6069,D
6,#97387CD3,A
6,#974E4099,C
6,#974F33EB,A
6,#975062A5,C
6,#97C40D5E,C
6,#97C4D586,A
6,#97C90957,B
6,#97C95C02,B
6,#97F13C5A,A
6,#982ACA78,C
6,#982E49FF,
6,#982EA315,B
6,#982EE650,D
6,#98305FF7,A
6,#9832309A,A
6,#98329C36,C
6,#9837A00F,D
6,#98F87616,D
6,#9925E458,D
6,#99328823,D
6,#9999B9B9,B
6,#999A6E6D,A
6,#9A1AD757,B
6,#9A1F0E8B,D
6,#9A233881,D
6,#9A27328F,A
6,#9A2B3283,C
6,#9A2DFB4C,D
6,#9A3E5DF9,A
6,#9A40E238,C
6,#9A4530EF,B
6,#9A542AE4,B
6,#9A565B97,C
6,#9A705FB5,A
6,#9A735EB7,B
6,#9A75719E,B
6,#9A7742AF,A
6,#9A7FEA0F,B
6,#9A8B3C2D,A
6,#9A94636D,A
6,#9A99B8BB,E
6,#9A9C5355,A
6,#9A9CE4E2,A
6,#9AA2320A,A
6,#9AA2350D,A
6,#9AA30E37,A
6,#9AB0416B,D
6,#9ACFAAFF,A
6,#9AD68BC7,D
6,#9B0A61F0,A
6,#9B7145AF,D
6,#9B7B2ACA,D
6,#9B8D7563,E
6,#9B9E5752,D
6,#9D4F7DAF,B
6,#9D533AF4,B
6,#9D7208E7,A
6,#9EB85472,A
6,#9F25DB61,B
6,#9F276DD5,A
6,#9F27843C,A
6,#A23A0F97,A
6,#A24DB35C,C
6,#A497794A,D
6,#A592AB9C,A
6,#A5CF167C,D
6,#A6A9535C,C
7,#012CF9D4,
7,#39758DC1,B
7,#802BA40F,A
7,#819DD5C9,C
7,#82A25E7E,A
7,#82E06103,A
7,#8418168A,A
7,#84202480,D
7,#842643E1,A
7,#84451DDC,A
7,#847057A3,A
7,#847630C2,A
7,#84AF6F44,B
7,#85B35E68,A
7,#8673C431,A
7,#88304BF3,C
7,#88498243,B
7,#88D21F45,B
7,#88F65927,A
7,#88F85727,C
7,#89019C14,B
7,#8901D75F,B
7,#89063EB1,A
7,#89887B7A,
7,#8A4E10D4,B
7,#8AF17902,D
7,#8B180F9C,C
7,#8B187BE8,B
7,#8B3AF243,C
7,#8B6CDC3B,A
7,#8DF11569,E
7,#8DFAA0D7,B
7,#8E18F462,A
7,#8E881513,B
7,#8E8E9494,C
7,#8E99FEE9,B
7,#8F474C84,B
7,#906EE21C,B
7,#907007E7,B
7,#90726082,A
7,#90EA5228,A
7,#9139D57D,E
7,#9147EC3A,A
7,#915C36FB,B
7,#916E758A,A
7,#916EE31C,A
7,#930E40DD,C
7,#9574E302,
7,#962F823B,C
7,#969C5A50,A
7,#969F4E47,B
7,#969F6069,A
7,#97387CD3,D
7,#974E4099,A
7,#974F33EB,C
7,#975062A5,B
7,#97C40D5E,B
7,#97C4D586,B
7,#97C90957,D
7,#97C95C02,A
7,#97F13C5A,A
7,#982ACA78,B
7,#982E49FF,B
7,#982EA315,A
7,#982EE650,D
7,#98305FF7,C
7,#9832309A,A
7,#98329C36,A
7,#9837A00F,C
7,#98F87616,B
7,#9925E458,A
7,#99328823,A
7,#9999B9B9,A
7,#999A6E6D,A
7,#9A1AD757,C
7,#9A1F0E8B,A
7,#9A233881,D
7,#9A27328F,A
7,#9A2B3283,C
7,#9A2DFB4C,A
7,#9A3E5DF9,A
7,#9A40E238,A
7,#9A4530EF,A
7,#9A542AE4,C
7,#9A565B97,A
7,#9A705FB5,D
7,#9A735EB7,A
7,#9A75719E,B
7,#9A7742AF,B
7,#9A7FEA0F,C
7,#9A8B3C2D,A
7,#9A94636D,D
7,#9A99B8BB,C
7,#9A9C5355,C
7,#9A9CE4E2,D
7,#9AA2320A,B
7,#9AA2350D,A
7,#9AA30E37,
7,#9AB0416B,C
7,#9ACFAAFF,A
7,#9AD68BC7,A
7,#9B0A61F0,C
7,#9B7145AF,A
7,#9B7B2ACA,B
7,#9B8D7563,A
7,#9B9E5752,B
7,#9D4F7DAF,C
7,#9D533AF4,B
7,#9D7208E7,A
7,#9EB85472,C
7,#9F25DB61,A
7,#9F276DD5,C
7,#9F27843C,
7,#A23A0F97,A
7,#A24DB35C,C
7,#A497794A,A
7,#A592AB9C,A
7,#A5CF167C,A
7,#A6A9535C,C
8,#012CF9D4,B
8,#39758DC1,A
8,#802BA40F,A
8,#819DD5C9,A
8,#82A25E7E,A
8,#82E06103,A
8,#8418168A,B
8,#84202480,B
8,#842643E1,A
8,#84451DDC,A
8,#847057A3,A
8,#847630C2,A
8,#84AF6F44,A
8,#85B35E68,C
8,#8673C431,A
8,#88304BF3,C
8,#88498243,A
8,#88D21F45,B
8,#88F65927,
8,#88F85727,C
8,#89019C14,B
8,#8901D75F,A
8,#89063EB1,C
8,#89887B7A,
8,#8A4E10D4,A
8,#8AF17902,D
8,#8B180F9C,A
8,#8B187BE8,A
8,#8B3AF243,C
8,#8B6CDC3B,A
8,#8DF11569,A
8,#8DFAA0D7,A
8,#8E18F462,A
8,#8E881513,B
8,#8E8E9494,A
8,#8E99FEE9,C
8,#8F474C84,A
8,#906EE21C,B
8,#907007E7,B
8,#90726082,A
8,#90EA5228,D
8,#9139D57D,A
8,#9147EC3A,A
8,#915C36FB,A
8,#916E758A,A
8,#916EE31C,C
8,#930E40DD,A
8,#9574E302,C
8,#962F823B,D
8,#969C5A50,A
8,#969F4E47,B
8,#969F6069,D
8,#97387CD3,A
8,#974E4099,C
8,#974F33EB,A
8,#975062A5,B
8,#97C40D5E,D
8,#97C4D586,D
8,#97C90957,A
8,#97C95C02,A
8,#97F13C5A,A
8,#982ACA78,A
8,#982E49FF,
8,#982EA315,A
8,#982EE650,B
8,#98305FF7,A
8,#9832309A,A
8,#98329C36,A
8,#9837A00F,B
8,#98F87616,A
8,#9925E458,B
8,#99328823,A
8,#9999B9B9,A
8,#999A6E6D,A
8,#9A1AD757,C
8,#9A1F0E8B,A
8,#9A233881,A
8,#9A27328F,A
8,#9A2B3283,C
8,#9A2DFB4C,D
8,#9A3E5DF9,
8,#9A40E238,A
8,#9A4530EF,A
8,#9A542AE4,A
8,#9A565B97,A
8,#9A705FB5,C
8,#9A735EB7,A
8,#9A75719E,A
8,#9A7742AF,A
8,#9A7FEA0F,A
8,#9A8B3C2D,A
8,#9A94636D,A
8,#9A99B8BB,A
8,#9A9C5355,A
8,#9A9CE4E2,A
8,#9AA2320A,A
8,#9AA2350D,C
8,#9AA30E37,
8,#9AB0416B,A
8,#9ACFAAFF,C
8,#9AD68BC7,E
8,#9B0A61F0,E
8,#9B7145AF,A
8,#9B7B2ACA,A
8,#9B8D7563,A
8,#9B9E5752,A
8,#9D4F7DAF,C
8,#9D533AF4,B
8,#9D7208E7,A
8,#9EB85472,A
8,#9F25DB61,A
8,#9F276DD5,A
8,#9F27843C,A
8,#A23A0F97,A
8,#A24DB35C,A
8,#A497794A,A
8,#A592AB9C,A
8,#A5CF167C,B
8,#A6A9535C,B
9,#012CF9D4,B
9,#39758DC1,C
9,#802BA40F,A
9,#819DD5C9,A
9,#82A25E7E,D
9,#82E06103,B
9,#8418168A,C
9,#84202480,B
9,#842643E1,A
9,#84451DDC,C
9,#847057A3,C
9,#847630C2,B
9,#84AF6F44,E
9,#85B35E68,B
9,#8673C431,B
9,#88304BF3,C
9,#88498243,B
9,#88D21F45,A
9,#88F65927,B
9,#88F85727,A
9,#89019C14,C
9,#8901D75F,A
9,#89063EB1,B
9,#89887B7A,
9,#8A4E10D4,C
9,#8AF17902,B
9,#8B180F9C,D
9,#8B187BE8,A
9,#8B3AF243,C
9,#8B6CDC3B,D
9,#8DF11569,A
9,#8DFAA0D7,D
9,#8E18F462,D
9,#8E881513,C
9,#8E8E9494,B
9,#8E99FEE9,A
9,#8F474C84,B
9,#906EE21C,C
9,#907007E7,C
9,#90726082,C
9,#90EA5228,B
9,#9139D57D,B
9,#9147EC3A,D
9,#915C36FB,B
9,#916E758A,B
9,#916EE31C,C
9,#930E40DD,B
9,#9574E302,A
9,#962F823B,E
9,#969C5A50,B
9,#969F4E47,C
9,#969F6069,C
9,#97387CD3,C
9,#974E4099,C
9,#974F33EB,B
9,#975062A5,B
9,#97C40D5E,B
9,#97C4D586,C
9,#97C90957,B
9,#97C95C02,B
9,#97F13C5A,D
9,#982ACA78,C
9,#982E49FF,C
9,#982EA315,C
9,#982EE650,C
9,#98305FF7,B
9,#9832309A,C
9,#98329C36,B
9,#9837A00F,C
9,#98F87616,
9,#9925E458,C
9,#99328823,C
9,#9999B9B9,B
9,#999A6E6D,A
9,#9A1AD757,C
9,#9A1F0E8B,C
9,#9A233881,C
9,#9A27328F,B
9,#9A2B3283,C
9,#9A2DFB4C,C
9,#9A3E5DF9,B
9,#9A40E238,C
9,#9A4530EF,C
9,#9A542AE4,B
9,#9A565B97,B
9,#9A705FB5,B
9,#9A735EB7,B
9,#9A75719E,B
9,#9A7742AF,C
9,#9A7FEA0F,C
9,#9A8B3C2D,B
9,#9A94636D,B
9,#9A99B8BB,B
9,#9A9C5355,B
9,#9A9CE4E2,
9,#9AA2320A,C
9,#9AA2350D,B
9,#9AA30E37,
9,#9AB0416B,C
9,#9ACFAAFF,A
9,#9AD68BC7,C
9,#9B0A61F0,A
9,#9B7145AF,B
9,#9B7B2ACA,B
9,#9B8D7563,A
9,#9B9E5752,D
9,#9D4F7DAF,C
9,#9D533AF4,B
9,#9D7208E7,C
9,#9EB85472,C
9,#9F25DB61,
9,#9F276DD5,A
9,#9F27843C,B
9,#A23A0F97,C
9,#A24DB35C,B
9,#A497794A,C
9,#A592AB9C,B
9,#A5CF167C,
9,#A6A9535C,C
10,#012CF9D4,B
10,#39758DC1,C
10,#802BA40F,B
10,#819DD5C9,C
10,#82A25E7E,B
10,#82E06103,B
10,#8418168A,C
10,#84202480,C
10,#842643E1,B
10,#84451DDC,C
10,#847057A3,B
10,#847630C2,B
10,#84AF6F44,D
10,#85B35E68,B
10,#8673C431,
10,#88304BF3,C
10,#88498243,D
10,#88D21F45,C
10,#88F65927,C
10,#88F85727,C
10,#89019C14,C
10,#8901D75F,C
10,#89063EB1,C
10,#89887B7A,
10,#8A4E10D4,C
10,#8AF17902,B
10,#8B180F9C,C
10,#8B187BE8,D
10,#8B3AF243,C
10,#8B6CDC3B,D
10,#8DF11569,B
10,#8DFAA0D7,D
10,#8E18F462,D
10,#8E881513,
10,#8E8E9494,B
10,#8E99FEE9,B
10,#8F474C84,B
10,#906EE21C,C
10,#907007E7,C
10,#90726082,C
10,#90EA5228,C
10,#9139D57D,B
10,#9147EC3A,D
10,#915C36FB,B
10,#916E758A,B
10,#916EE31C,C
10,#930E40DD,B
10,#9574E302,
10,#962F823B,E
10,#969C5A50,C
10,#969F4E47,C
10,#969F6069,C
10,#97387CD3,C
10,#974E4099,C
10,#974F33EB,B
10,#975062A5,E
10,#97C40D5E,D
10,#97C4D586,C
10,#97C90957,C
10,#97C95C02,B
10,#97F13C5A,D
10,#982ACA78,C
10,#982E49FF,C
10,#982EA315,C
10,#982EE650,
10,#98305FF7,B
10,#9832309A,C
10,#98329C36,B
10,#9837A00F,C
10,#98F87616,
10,#9925E458,C
10,#99328823,C
10,#9999B9B9,B
10,#999A6E6D,A
10,#9A1AD757,D
10,#9A1F0E8B,C
10,#9A233881,C
10,#9A27328F,C
10,#9A2B3283,B
10,#9A2DFB4C,C
10,#9A3E5DF9,B
10,#9A40E238,C
10,#9A4530EF,B
10,#9A542AE4,C
10,#9A565B97,B
10,#9A705FB5,C
10,#9A735EB7,B
10,#9A75719E,B
10,#9A7742AF,C
10,#9A7FEA0F,B
10,#9A8B3C2D,C
10,#9A94636D,C
10,#9A99B8BB,
10,#9A9C5355,B
10,#9A9CE4E2,C
10,#9AA2320A,C
10,#9AA2350D,C
10,#9AA30E37,
10,#9AB0416B,C
10,#9ACFAAFF,A
10,#9AD68BC7,B
10,#9B0A61F0,C
10,#9B7145AF,A
10,#9B7B2ACA,C
10,#9B8D7563,B
10,#9B9E5752,D
10,#9D4F7DAF,C
10,#9D533AF4,C
10,#9D7208E7,B
10,#9EB85472,C
10,#9F25DB61,
10,#9F276DD5,B
10,#9F27843C,B
10,#A23A0F97,C
10,#A24DB35C,B
10,#A497794A,C
10,#A592AB9C,B
10,#A5CF167C,
10,#A6A9535C,D
11,#012CF9D4,B
11,#39758DC1,C
11,#802BA40F,B
11,#819DD5C9,C
11,#82A25E7E,B
11,#82E06103,B
11,#8418168A,A
11,#84202480,B
11,#842643E1,B
11,#84451DDC,B
11,#847057A3,B
11,#847630C2,C
11,#84AF6F44,B
11,#85B35E68,C
11,#8673C431,C
11,#88304BF3,C
11,#88498243,C
11,#88D21F45,B
11,#88F65927,A
11,#88F85727,B
11,#89019C14,A
11,#8901D75F,C
11,#89063EB1,B
11,#89887B7A,
11,#8A4E10D4,B
11,#8AF17902,C
11,#8B180F9C,B
11,#8B187BE8,B
11,#8B3AF243,B
11,#8B6CDC3B,C
11,#8DF11569,A
11,#8DFAA0D7,B
11,#8E18F462,C
11,#8E881513,B
11,#8E8E9494,C
11,#8E99FEE9,B
11,#8F474C84,A
11,#906EE21C,B
11,#907007E7,A
11,#90726082,B
11,#90EA5228,B
11,#9139D57D,A
11,#9147EC3A,D
