Clicker ID,1,2,3,4,5,6,7,8,9,10
#917358BA,C,B,A,A,D,C,E,A,C,C
#93049E09,A,B,A,A,C,C,B,C,C,A
#9322E958,B,B,B,A,D,C,C,C,A,A
#9513F573,B,B,A,A,D,C,B,C,C,B
#9578EA07,B,B,A,A,D,C,B,C,C,
#95B34563,B,B,C,A,B,C,B,C,C,B
#95F2E186,B,,D,,E,C,C,D,E,A
#963D00AB,B,B,A,A,B,C,B,C,C,B
#966C1EE4,B,B,A,A,C,C,B,E,C,B
#969F1F16,B,B,A,A,C,C,C,C,C,B
#96A792A3,B,B,C,A,C,C,B,C,C,A
#96A7CFFE,B,B,D,A,A,C,B,E,E,A
#96AEF3CB,B,B,A,A,E,C,B,C,E,E
#96B10126,B,B,C,C,C,C,D,C,C,A
#96B34E6B,B,B,C,D,C,B,A,C,C,B
#96C6C191,B,B,D,D,A,C,C,C,C,B
#96CECA92,B,B,B,A,C,C,D,C,C,B
#96D5EAA9,B,B,A,A,C,C,B,C,C,
#96DB135E,B,B,A,A,C,C,B,C,C,A
#973661C0,B,B,A,A,B,C,B,C,C,B
#973679D8,A,B,B,B,C,D,B,C,B,B
#97419046,B,B,A,D,C,C,B,C,E,A
#974918C6,B,B,C,A,B,B,B,C,E,B
#974E5E87,B,B,A,A,C,B,B,C,C,B
#974FD800,B,,A,,C,,B,C,,A
#9755D210,B,B,D,E,C,,B,C,C,B
#97C30054,,,,,,,,C,C,B
#97C44B18,B,B,A,A,A,C,E,C,C,A
#97C45300,B,B,A,A,A,A,D,B,B,C
#97C4D88B,B,B,A,A,D,B,B,C,C,B
#97C8A3FC,B,B,B,B,D,C,C,C,E,D
#97C8E1BE,B,B,A,A,C,C,B,C,C,A
#97C8F6A9,B,B,A,A,C,C,B,C,E,A
#97C90D53,B,B,A,A,C,C,B,A,C,A
#97C94719,B,B,B,A,B,B,B,A,C,B
#97D7E1A1,A,B,A,A,D,D,C,C,C,A
#9820A21A,B,B,A,A,C,C,B,C,C,B
#982A63D1,B,B,A,A,C,C,B,C,C,B
#982D5FEA,B,B,A,A,D,C,B,B,C,B
#982F1BAC,B,B,A,A,D,C,B,C,E,B
#983156FF,B,B,C,A,C,C,D,B,A,B
#9831AF06,B,B,A,A,C,C,B,C,C,B
#983206AC,B,B,A,A,C,C,B,C,C,B
#98327CD6,B,B,A,A,C,C,C,C,C,A
#983B5CFF,B,B,A,A,D,C,B,C,C,A
#9883C0DB,B,B,A,A,C,C,A,C,C,B
#98F5D9B4,B,B,D,A,C,C,B,C,E,B
#98F89AFA,,A,A,,E,E,E,C,C,B
#98F8ADCD,B,B,B,D,C,B,B,C,C,B
#98FA3E5C,B,B,A,A,D,C,B,C,C,B
#9934D07D,B,B,D,D,C,C,C,C,E,A
#99357ED2,A,B,B,,B,B,C,A,A,
#9965DE22,B,B,C,A,D,D,A,D,C,B
#9987819F,B,B,A,A,A,C,D,C,C,A
#99896979,B,B,C,B,D,C,C,C,E,A
#998D9480,B,B,B,A,C,C,B,C,C,B
#9996E2ED,B,B,D,A,C,C,B,B,D,
#9996F2FD,B,B,A,A,D,C,B,B,B,A
#9A21C47F,B,B,A,A,D,C,B,C,C,B
#9A2251E9,B,B,A,A,B,B,D,C,C,B
#9A265DE1,B,,C,C,B,C,C,C,C,B
#9A2707BA,B,B,C,B,D,C,C,C,E,A
#9A2F2B9E,B,B,A,A,B,C,B,D,C,A
#9A32F55D,B,B,A,A,D,C,B,C,C,E
#9A3767CA,B,B,D,A,D,C,C,C,E,A
#9A37F954,B,B,A,A,C,C,C,C,C,A
#9A3C68CE,B,B,A,A,E,B,E,A,C,B
#9A3F399C,B,B,D,A,B,C,B,C,C,A
#9A42EE36,B,B,C,A,B,B,C,C,C,A
#9A45F02F,B,B,D,A,C,C,E,B,C,B
#9A50F832,B,B,A,A,D,D,D,D,D,B
#9A52E72F,B,B,B,B,A,C,A,C,E,A
#9A56CB07,B,B,A,A,A,C,B,C,C,
#9A5C7EB8,B,B,B,B,A,C,C,C,C,B
#9A746E80,B,B,A,A,C,C,B,C,C,B
#9A7A0DED,B,B,B,A,B,C,B,C,C,B
#9A7CED0B,B,B,A,A,D,B,A,B,C,B
#9A7DB255,B,B,A,A,A,C,B,A,C,B
#9A7FB055,B,B,A,A,C,C,C,B,B,B
#9A84F3ED,B,B,A,A,C,C,B,C,C,A
#9A875845,B,B,A,A,C,C,B,B,E,B
#9A8CB0A6,B,B,A,A,D,D,B,C,C,A
#9A8CC4D2,C,B,C,A,E,C,B,C,C,B
#9A8CE0F6,B,B,A,A,B,B,D,C,C,C
#9A90050F,B,B,A,A,C,C,C,C,C,B
#9A90545E,B,B,A,A,D,B,D,C,C,B
#9A905D57,B,B,D,A,A,C,C,B,E,A
#9A91656E,B,B,A,A,C,C,E,A,A,B
#9A956966,B,,A,,,A,A,C,C,E
#9A95838C,B,B,A,,C,C,C,C,,A
#9A965458,B,B,A,A,B,C,C,A,C,B
#9A966E62,B,B,A,A,D,C,B,C,C,A
#9A97404D,B,B,B,A,C,,B,C,C,
#9A974D40,B,B,C,B,B,C,D,,C,B
#9A974F42,B,B,A,B,C,C,C,C,E,A
#9A9FF6F3,B,B,A,A,A,D,C,C,,B
#9AA21A22,B,B,A,A,C,C,B,C,C,B
#9AA3F4CD,C,B,C,A,D,C,C,B,C,B
#9AA46C52,B,B,C,A,B,C,D,C,C,A
#9AA57B44,B,B,B,D,D,C,B,C,C,A
#9AA58EB1,B,B,A,A,C,C,B,C,C,A
#9AAA0F3F,B,B,A,A,C,C,B,C,C,A
#9AAAF3C3,,,B,C,C,C,C,D,D,D
#9AAE4773,B,B,A,A,D,D,D,C,C,B
#9AAE497D,B,B,A,A,C,C,B,A,C,B
#9AB0507A,B,B,A,A,C,C,B,C,C,A
#9AB0D4FE,B,B,A,A,B,C,D,C,C,B
#9ABC7553,B,B,D,A,D,D,B,B,C,B
#9ABFAC89,B,B,A,A,E,C,B,C,C,B
#9AC089D3,B,B,C,B,C,C,D,D,D,A
#9AC74419,,,,,C,C,B,C,C,A
#9ACA5202,B,B,A,A,C,C,B,C,C,A
#9ACB7F2E,B,B,B,A,E,C,B,B,C,B
#9AD0450F,B,B,A,A,D,C,B,C,C,A
#9AD4BAF4,B,B,A,A,D,C,B,B,E,A
#9AD52768,B,B,A,A,B,C,B,C,C,B
#9ADA5B1B,B,B,B,A,D,C,D,B,C,B
#9ADC5B1D,B,B,A,A,B,C,B,C,C,B
#9AF97310,B,B,D,A,D,E,E,B,C,B
#9B0231A8,B,B,A,A,,B,B,C,C,A
#9B7AD435,B,B,A,A,C,C,B,C,C,B
#9B82F3EA,B,B,A,A,E,C,B,C,C,B
#9B90A3A8,B,B,A,A,C,C,B,C,C,B
#9B932028,B,B,D,D,D,C,B,C,C,B
#9B93E0E8,B,B,A,A,C,C,B,C,C,B
#9B9D8E88,B,B,A,A,C,C,B,C,C,B
#9B9E4144,B,B,A,A,C,C,B,E,E,B
#9D380FAA,B,B,A,A,A,C,E,,C,B
#9D52EE21,B,B,A,A,B,D,D,C,C,B
#9D6AAD5A,B,B,B,A,C,C,B,C,C,B
#9D6ADE29,B,B,A,,A,A,B,B,D,A
#9D7300EE,B,B,A,A,B,C,D,A,C,B
#9D789B7E,B,,A,A,C,C,B,C,C,C
#9D90161B,B,B,A,A,A,C,B,C,C,B
#9DA0D4E9,B,B,A,A,C,C,B,C,E,B
#9DB2E8C7,B,B,A,A,B,C,D,C,C,B
#9DDF3674,B,B,C,B,D,D,E,C,C,A
#9F221DA0,B,B,D,A,A,C,B,C,C,B
#A02B48C3,B,B,A,A,C,C,B,C,C,A
#A22455D3,B,B,A,A,D,D,D,A,A,B
#A2379E0B,,B,A,A,A,E,E,B,E,
#A256D125,B,B,B,A,E,A,,A,A,E
#A25F37CA,B,B,A,A,B,C,B,C,C,A
#A595B080,,,,,,,,,A,
